boxID,magnification,imageName,specimenNR,formation,zh,oh,ow.m,ow.b,o.side,mpw.b,cw.m,cw.b,cw.d,c.side,zh.zw,oh.ow,ln.zh,ln.mpw.b,ln.cw.m,ln.cw.d,ln.ow.m,ln.oh,ln.o.side,ln.c.side
1125_1715_386_507,x30,002i_CV_1_15v_x30_BSE,002iCV,NKBS,697.137596,0.110752579,402.0887041,315.7037817,266.8902441,158.5532957,336.8317866,159.2729837,394.6103197,319.8694472,1.766648162,0.000275443,6.546982803,5.066090787,5.819583656,5.977898746,5.996672721,-2.20045658,5.586837503,5.767912935
844_737_383_550,x30,002i_CV_1_15v_x30_BSE,002iCV,NKBS,617.7262204,0.110315905,405.6352658,316.8488719,275.4915827,183.2352032,367.2868478,221.515831,395.7679211,236.3444776,1.560829434,0.000271958,6.42604535,5.210770591,5.906143144,5.980827982,6.005454396,-2.204407167,5.618557075,5.465290392
388_1393_440_567,x30,002i_CV_1_15v_x30_BSE,002iCV,NKBS,704.5508966,0.106721576,419.544517,347.7896495,306.2386813,203.0440715,460.2156099,252.4267086,473.8014303,307.8816823,1.487017243,0.000254375,6.557560574,5.313423056,6.131695097,6.16078831,6.03916964,-2.237531929,5.724364802,5.729715561
226_1003_411_530,x30,002i_CV_2_15v_x30_BSE,002iCV,NKBS,675.5002447,0.104476278,423.0734764,338.7704783,264.4308084,214.6229767,393.8608939,216.8005363,421.0540827,298.2040518,1.604307552,0.000246946,6.51545352,5.368882892,5.975997786,6.042761288,6.047545867,-2.258795237,5.577579623,5.69777799
676_1085_424_557,x30,002i_CV_2_15v_x30_BSE,002iCV,NKBS,675.7400557,0.112252113,384.6159083,306.935129,264.4441772,184.8479467,395.1654269,204.7268966,389.6416656,295.918352,1.734260258,0.000291855,6.515808469,5.219533578,5.979304479,5.965227511,5.952245195,-2.187007931,5.577630179,5.690083578
514_758_428_494,x30,002i_CV_2_15v_x30_BSE,002iCV,NKBS,681.390282,0.11481466,382.2439053,300.1531775,260.3338211,158.7592537,374.6456098,208.7116292,391.6839692,309.7898466,1.739643017,0.00030037,6.524135243,5.067388927,5.925980539,5.970455314,5.9460589,-2.164436103,5.561964735,5.735894153
357_1359_371_568,x30,002i_CV_2_15v_x30_BSE,002iCV,NKBS,682.0194099,0.113114042,382.218971,307.9094724,272.8478454,160.0915226,338.8789742,176.4750999,374.8018462,290.2524851,1.819679964,0.00029594,6.525058118,5.075745668,5.825643035,5.926397476,5.945993667,-2.179358749,5.608914297,5.670751182
344_364_429_462,x30,002i_CV_2_15v_x30_BSE,002iCV,NKBS,614.8475878,0.101975642,435.2714933,351.6245714,262.7732521,201.8469545,442.8472319,228.9035252,452.8613249,261.1470256,1.357695069,0.000234281,6.421374412,5.307509759,6.093224862,6.115585953,6.075969959,-2.283021298,5.571291501,5.565083565
745_463_445_442,x30,002i_CV_2_15v_x30_BSE,002iCV,NKBS,622.8733602,0.099397735,431.3532616,351.2681584,236.8681475,192.4194304,423.8354964,217.2522307,435.734189,294.5832307,1.429480119,0.000230432,6.434343224,5.259677522,6.0493454,6.077032399,6.066927387,-2.308625953,5.467503646,5.68556158
970_799_409_463,x30,002i_CV_2_15v_x30_BSE,002iCV,NKBS,562.1930821,0.126517995,312.5266166,256.9439937,233.151963,152.1108471,389.0926748,231.0761372,373.8598071,251.0261537,1.503753737,0.000404823,6.331845353,5.024609512,5.963817554,5.92388088,5.744689639,-2.067370725,5.451690443,5.525557132
