"boxID","magnification","imageName","colony.id","formation","zh","oh","ow.m","ow.b","o.side","mpw.b","cw.m","cw.b","cw.d","c.side","zh.zw","oh.ow","ln.zh","ln.mpw.b","ln.cw.m","ln.cw.d","ln.ow.m","ln.oh","ln.o.side","ln.c.side","zooid.id"
"454_516_223_319","x30","267_CC_1_15v_x30_BSE","267CC","NKBS",392.621387304918,0.153395588373893,207.534084305508,169.011057809497,150.88589354797,76.7814529645666,223.51057222335,138.653145462706,222.692810664519,186.193940641148,1.76306269669563,0.000739134436096201,5.97284575642818,4.34096311313112,5.40945871594762,5.40579329114016,5.33529558789457,-1.87473514943324,5.01652387928327,5.22678882210695,"454_516_223_319_267_CC_1_15v_x30_BSE"
"183_473_235_290","x30","267_CC_1_15v_x30_BSE","267CC","NKBS",391.826462301913,0.131633471104128,236.135096711992,204.520629324469,146.929443307459,88.063789202154,224.628618164827,142.153838642124,248.8687385158,185.627677355878,1.57443021826961,0.000557449836712233,5.97081904356127,4.47806142917876,5.41444845255253,5.51692560291487,5.4644040849371,-2.02773395273276,4.98995249405238,5.22374293291896,"183_473_235_290_267_CC_1_15v_x30_BSE"
"18_274_273_303","x30","267_CC_1_15v_x30_BSE","267CC","NKBS",408.455010289666,0.135735517965095,236.302247539144,196.168463388958,158.095088130839,84.1422361979007,250.93904827963,137.766544321728,263.969672123069,197.700858366376,1.54735582691952,0.00057441484107175,6.01238177430505,4.43250865491761,5.52521007410314,5.57583421822559,5.46511169552784,-1.99704700751575,5.06319667561667,5.28675507192929,"18_274_273_303_267_CC_1_15v_x30_BSE"
"213_110_235_281","x30","267_CC_1_15v_x30_BSE","267CC","NKBS",403.413881050785,0.146650039087486,204.227505144833,182.714330503847,163.338663063536,73.2420495748256,235.054407664283,141.462555578533,247.354176649395,188.336204989347,1.63091598660407,0.000718071931513269,5.99996303506886,4.29376970377884,5.45981700932275,5.51082122311594,5.3192345937451,-1.91970621702284,5.09582573290542,5.23822869009313,"213_110_235_281_267_CC_1_15v_x30_BSE"
"475_971_294_242","x30","267_CC_1_15v_x30_BSE","267CC","NKBS",296.681130270219,0.152109124147464,220.628975753905,169.614168056538,154.136336820381,65.2806615341666,198.850019790446,140.021144789415,210.840467643245,104.01931360071,1.40713561104513,0.000689434031172454,5.69265792658949,4.17869584439995,5.29255087117819,5.35110176998514,5.39648244793949,-1.88315709369581,5.0378375147916,4.64457658959896,"475_971_294_242_267_CC_1_15v_x30_BSE"
"448_539_207_298","x30","267_CC_2_15v_x30_BSE","267CC","NKBS",391.103034106157,0.147770994250621,222.006997476464,175.856809120963,141.932730258931,88.7107594436674,217.878030541241,130.623877407018,233.047471948797,191.040036941516,1.67821187175155,0.00066561412897036,5.96897103960956,4.48538118346606,5.38393541328443,5.45124217508258,5.40270890153978,-1.91209153972338,4.95535321478457,5.2524830235748,"448_539_207_298_267_CC_2_15v_x30_BSE"
"24_397_235_290","x30","267_CC_2_15v_x30_BSE","267CC","NKBS",381.955280770411,0.150225187113084,214.680063222074,174.948624167638,161.63098258451,64.3564356435644,243.833868436134,142.431324270892,238.087418938833,181.09959241817,1.60426486402685,0.000699763102630005,5.94530353570777,4.16443693904247,5.49648712633293,5.47263791269665,5.36914884180306,-1.89561986321069,5.08531585162436,5.19904711429694,"24_397_235_290_267_CC_2_15v_x30_BSE"
"174_558_233_312","x30","267_CC_2_15v_x30_BSE","267CC","NKBS",423.317986662019,0.152168178392419,221.472802054582,176.845036743083,161.842022809272,87.598742178132,239.734392486899,133.826246356042,238.744150051575,202.684626096521,1.77310307528193,0.000687073884381149,6.04812363814793,4.47276663914214,5.47953161252834,5.47539247665887,5.4002997921246,-1.88276893299369,5.08662069160288,5.31165120497976,"174_558_233_312_267_CC_2_15v_x30_BSE"
"271_364_206_290","x30","267_CC_2_15v_x30_BSE","267CC","NKBS",415.376396518605,0.15495060994736,217.921769230616,168.324920533003,150.819551338651,92.5417484673924,228.105098292112,133.826246356042,216.800536264282,200.862212945715,1.91593804921339,0.000711037775135643,6.02918508873617,4.52765987748009,5.42980648016775,5.37897774310617,5.38413614164431,-1.86464885834206,5.01608409795673,5.30261916525845,"271_364_206_290_267_CC_2_15v_x30_BSE"
"539_347_235_282","x30","267_CC_2_15v_x30_BSE","267CC","NKBS",384.775173193726,0.154865011440311,231.076137241124,165.049501650825,151.079373958925,80.8580858085809,216.480015823203,117.579323612697,226.457719247745,173.996678051444,1.6991038083042,0.000670190411218064,5.95265919798281,4.39269559102345,5.37749823751562,5.4225582575102,5.44274725466258,-1.86520143544481,5.01780535406366,5.15903620737391,"539_347_235_282_267_CC_2_15v_x30_BSE"
"324_704_236_283","x30","267_CC_2_15v_x30_BSE","267CC","NKBS",372.940944519062,0.158000376794452,211.32423225851,163.399669900004,155.150653246197,82.6566322532554,233.257698236662,145.971996806552,212.973598357031,160.576318032749,1.75111350606877,0.000747668050681346,5.92142008142282,4.41469506609603,5.45214384341289,5.36116820665138,5.35339359981897,-1.845157861183,5.04439660130252,5.07876933131661,"324_704_236_283_267_CC_2_15v_x30_BSE"
"149_402_259_315","x30","267_CC_3_15v_x30_BSE","267CC","NKBS",383.350061933508,0.137483525288286,238.087418938833,197.537917513471,154.14683285339,88.0173950699313,266.413507581059,164.768790975137,261.476965251185,172.851820678577,1.46609496391105,0.000577449769925085,5.94894857156354,4.47753446619304,5.58504964151393,5.56634619263153,5.47263791269665,-1.98425118513922,5.03790560824623,5.15243469959869,"149_402_259_315_267_CC_3_15v_x30_BSE"
"573_285_240_290","x30","267_CC_3_15v_x30_BSE","267CC","NKBS",359.508814947755,0.144352062909571,215.338631419281,180.200739833676,146.634355095054,76.1940355156119,242.394581084307,144.923575923806,244.341466913545,162.385099164358,1.47133771229653,0.000670349123880639,5.88473869688206,4.33328318555569,5.49056689868252,5.49856670153301,5.37221181892613,-1.93550008194953,4.98794210780314,5.08997066960388,"573_285_240_290_267_CC_3_15v_x30_BSE"
"308_205_280_337","x30","267_CC_3_15v_x30_BSE","267CC","NKBS",368.988115098975,0.147125007724579,216.524036917119,178.500265126712,152.540423457949,75.7280125781107,270.007541719628,159.64866828314,256.943993669777,167.881207455493,1.43606437274108,0.000679485796678064,5.91076443511796,4.32714813925978,5.59844989090319,5.54885813768255,5.37770156630106,-1.91647266089818,5.02742963277753,5.12325663081201,"308_205_280_337_267_CC_3_15v_x30_BSE"
"219_992_261_365","x30","267_CC_3_15v_x30_BSE","267CC","NKBS",448.362315814968,0.146172033286149,223.626281422067,183.76200874361,192.826450918922,100.239884808498,218.046688569755,123.707358508193,228.89162883696,189.740699110605,1.95884103797583,0.000653644251277725,6.10560164621888,4.60756616143011,5.38470920760962,5.43324865502267,5.40997627203971,-1.92297104075729,5.26179056632914,5.24565839852949,"219_992_261_365_267_CC_3_15v_x30_BSE"
"611_953_241_296","x30","268_CV_1_15v_x30_BSE","268CV","NKBS",385.535197474011,0.13718719258121,249.742539715434,202.614461758031,171.779340869264,89.6724631629936,211.32423225851,147.687464259171,231.429392854883,140.838887936767,1.66588691573744,0.000549314476971066,5.95463249227001,4.49616373378478,5.35339359981897,5.44427482853777,5.52043054607324,-1.98640891658106,5.1462107512674,4.94761659832247,"611_953_241_296_268_CV_1_15v_x30_BSE"
"448_779_210_283","x30","268_CV_1_15v_x30_BSE","268CV","NKBS",388.577948492298,0.148707317891823,217.878030541241,175.414947404862,151.474243842496,94.1172886574205,250.830510623912,153.784401653555,231.117378217975,173.433592083185,1.68130130018097,0.000682525528261901,5.96249378930208,4.5445417561495,5.52477745456501,5.44292571228079,5.38393541328443,-1.9057752142735,5.0204156028562,5.15579477155391,"448_779_210_283_268_CV_1_15v_x30_BSE"
"291_576_252_288","x30","268_CV_1_15v_x30_BSE","268CV","NKBS",392.753140615505,0.135505490365802,241.736502669703,201.489135360582,166.209778798251,95.8375154833769,240.974948292248,150.174083068692,257.425742574257,172.80751801911,1.525694892391,0.00056055038800222,5.97318127357863,4.56265421044365,5.48469297909276,5.55073130016236,5.48784830100517,-1.99874312017846,5.11325071822509,5.15217836247859,"291_576_252_288_268_CV_1_15v_x30_BSE"
"27_985_234_324","x30","268_CV_1_15v_x30_BSE","268CV","NKBS",433.242960722512,0.173654593206141,218.931566309738,155.361086415047,189.672872092205,93.5950555279685,217.045320758513,132.845970710091,217.721749207533,176.510427709943,1.98989288989013,0.000793191206426853,6.07129868085267,4.53897755653234,5.38010618315576,5.38321786774066,5.3887591983797,-1.75068704919951,5.24530086245661,5.17337995513776,"27_985_234_324_268_CV_1_15v_x30_BSE"
